bst, avl, splay_order, splay_random_1, splay_random_2, splay_random_3, splay_random_4, splay_random_5,
0,9,1000,183,0,0,0,0, 
1,8,500,180,0,0,0,0, 
2,9,251,215,0,0,0,0, 
3,7,125,58,0,0,0,0, 
4,9,65,236,0,0,0,0, 
5,8,32,77,0,0,0,0, 
6,9,18,31,0,0,0,0, 
7,6,9,23,0,0,0,0, 
8,9,7,63,0,0,0,0, 
9,8,3,19,0,0,0,0, 
10,9,3,48,0,0,0,0, 
11,7,1,9,0,0,0,0, 
12,9,7,16,0,0,0,0, 
13,8,3,12,0,0,0,0, 
14,9,3,11,0,0,0,0, 
15,5,1,27,0,0,0,0, 
16,9,3,121,0,0,0,0, 
17,8,1,46,0,0,0,0, 
18,9,2,8,0,0,0,0, 
19,7,1,15,0,0,0,0, 
20,9,5,18,0,0,0,0, 
21,8,2,12,0,0,0,0, 
22,9,3,16,0,0,0,0, 
23,6,1,6,0,0,0,0, 
24,9,3,15,0,0,0,0, 
25,8,1,11,0,0,0,0, 
26,9,2,10,0,0,0,0, 
27,7,1,15,0,0,0,0, 
28,9,5,19,0,0,0,0, 
29,8,2,11,0,0,0,0, 
30,9,3,10,0,0,0,0, 
31,4,1,6,0,0,0,0, 
32,9,3,13,0,0,0,0, 
33,8,1,7,0,0,0,0, 
34,9,2,27,0,0,0,0, 
35,7,1,14,0,0,0,0, 
36,9,4,12,0,0,0,0, 
37,8,2,9,0,0,0,0, 
38,9,3,9,0,0,0,0, 
39,6,1,22,0,0,0,0, 
40,9,3,19,0,0,0,0, 
41,8,1,13,0,0,0,0, 
42,9,2,6,0,0,0,0, 
43,7,1,10,0,0,0,0, 
44,9,6,4,0,0,0,0, 
45,8,3,11,0,0,0,0, 
46,9,3,15,0,0,0,0, 
47,5,1,14,0,0,0,0, 
48,9,3,15,0,0,0,0, 
49,8,1,11,0,0,0,0, 
50,9,2,25,0,0,0,0, 
51,7,1,8,0,0,0,0, 
52,9,5,10,0,0,0,0, 
53,8,2,10,0,0,0,0, 
54,9,3,17,0,0,0,0, 
55,6,1,15,0,0,0,0, 
